"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",11,800.239377416892,0.232063174380821,1.0439306430946,0.285971402859714
"Residual",38,2648.12928147115,0.767936825619179,NA,NA
"Total",49,3448.36865888804,1,NA,NA
