"","freq","prev","p.freq","p.prev","p","contaminant"
"COPC",0.000582184922243866,42,NA,0.856410256410256,0.856410256410256,FALSE
"COPD",0.00387157963977972,71,NA,0.976800976800977,0.976800976800977,FALSE
"COPF",0.00161058138338703,50,NA,0.8998778998779,0.8998778998779,FALSE
"COPG",0.000284355079075792,35,NA,0.811965811965812,0.811965811965812,FALSE
"COPJ",6.50367725941623e-05,13,NA,0.633333333333333,0.633333333333333,FALSE
"COPK",5.29948331780525e-06,2,NA,0.521855921855922,0.521855921855922,FALSE
"COPL",0.000101350803891485,30,NA,0.776556776556776,0.776556776556776,FALSE
"COPM",0.000229218085618446,34,NA,0.805128205128205,0.805128205128205,FALSE
"COPR",0.00142220271535321,48,NA,0.88974358974359,0.88974358974359,FALSE
"COPS",0.00128661745918887,47,NA,0.516483516483516,0.516483516483516,FALSE
"COPV",0.000655048031855498,41,NA,0.85042735042735,0.85042735042735,FALSE
"COPY",0.000299036579858498,4,NA,0.543223443223443,0.543223443223443,FALSE
"COPZ",4.66455338927755e-05,3,NA,0.532600732600733,0.532600732600733,FALSE
"CORA",0.00206731559543272,57,NA,0.931501831501832,0.931501831501832,FALSE
"CORB",0.00102923059980961,47,NA,0.884493284493284,0.884493284493284,FALSE
"CORC",0.0010950679163376,40,NA,0.43956043956044,0.43956043956044,TRUE
"CORD",0.00146056044685187,20,NA,0.696581196581197,0.696581196581197,FALSE
"CORR",0.0010522437567627,49,NA,0.894871794871795,0.894871794871795,FALSE
"CORS",0.000638869306669884,42,NA,0.856410256410256,0.856410256410256,FALSE
"CORT",0.00016918294376986,32,NA,0.791086691086691,0.791086691086691,FALSE
"CPAA",6.75001922723201e-05,13,NA,0.633333333333333,0.633333333333333,FALSE
"CPHA",0.00107776008345003,46,NA,0.879120879120879,0.879120879120879,FALSE
"CPT",0.00075873014361035,46,NA,0.879120879120879,0.879120879120879,FALSE
"CPXAR",0.00699113203777428,75,NA,0.338827838827839,0.338827838827839,TRUE
"CRD",0.000479594277485563,42,NA,0.856410256410256,0.856410256410256,FALSE
"CRDB",3.60046266784418e-05,13,NA,0.633333333333333,0.633333333333333,FALSE
"CRH",0.00413557683873144,74,NA,0.983394383394383,0.983394383394383,FALSE
