"Age_wk","Trt","variable","n","mean","sd"
"1","1","Observed",6,307.5,347.605
"11","1","Observed",6,521.667,343.445
"5","1","Observed",6,532.167,326.901
"7","1","Observed",6,637.833,274.321
"9","1","Observed",6,424.667,346.447
"1","3","Observed",5,490.8,353.22
"11","3","Observed",5,620.2,284.132
"5","3","Observed",5,662.4,189.84
"7","3","Observed",5,405,328.508
"9","3","Observed",5,482.8,365.236
