"","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC2","AMC30","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC40","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC57","AMC58","AMC59","AMC5","AMC60","AMC65","AMC66","AMC67","AMC68","AMC69","AMC6","AMC70","AMC91","AMC93","AMC94","AMC95","AMC96","AMC97","AMC9","Genus"
"573",0.000351631816955196,0.00187185025197984,0,0,0.000308308925543395,0.000136988647065874,0.00866551126516464,0.000103780014044895,8.62436574976882e-05,0.0602975724353955,8.86138577304514e-05,0,0.000387258537738016,0,0.000148795352823541,0.000177742021488075,0.000379380661070802,0.000375739065322236,6.92412086745386e-05,0.00172715894868586,0.000211704930372601,0,0.000225632485993307,0.0474243663123467,0.000295024808904385,0,0.0262529832935561,0.000557667047512455,0.0125433680277555,0,0.000163907556138338,0,0.000102765641397737,0.000575808831467953,0,0.00268216361198033,0.000179906962399445,0.0767142688540068,2.9154263956875e-05,0.0229132569558101,0,0.000507893511660389,0.000973678231800331,0.000198084725618502,0.000186566913767162,0,0.000122704284153555,0.000151209192419196,0.000163365325709618,8.76853486853245e-05,0.000109487338571347,0.000118159260504813,0.000281095311878677,"g__Klebsiella"
"521720",0,0.00215982721382289,0,0,0,8.56179044161715e-06,0.0072790294627383,3.45933380149651e-06,0,0.00939702427564605,7.38448814420428e-06,0,6.5637040294579e-06,0.00059206631142688,5.95181411294162e-06,0,0.000901029070043155,7.91735887643284e-05,2.30804028915129e-06,0,0,1.97122989961512e-05,6.35584467586781e-06,0.0245298446443173,1.3410218586563e-05,0.010443864229765,0.0173031026252983,3.10894521261299e-05,0.00693888444088604,0.0297504798464491,0.000155280842657373,7.64122901527482e-06,2.02417172450089e-05,0.000419860606278715,0,0.00312919088064372,5.14019892569842e-05,0,0.000186587289324,0.0761047463175123,2.70467638547048e-05,0.0145596140009311,0.0141507903021648,1.70762694498709e-05,0,0.000701065619742008,0,0,0,2.72126944195835e-05,0,0,0,"g__Denitrificimonas"
"2053287",0,0.030093592512599,2.33007898967775e-05,0,0,0,0.0048526863084922,1.72966690074825e-05,1.43739429162814e-05,0.0250587314017228,0.000236303620614537,0,5.25096322356632e-05,0.0029603315571344,5.35663270164746e-05,0,0.0118082230758287,2.6838504665874e-06,3.00045237589667e-05,0,0,0,0,0.0196238757154538,0,0.0130548302872063,0.00954653937947494,0.00130575698929746,0.00773952495329597,0.00191938579654511,4.31335674048258e-05,2.29236870458245e-05,3.11411034538598e-06,0,0,0.00312919088064372,0,0.0866281128289862,8.7462791870625e-06,0.0106382978723404,0,0.141321369619503,0.0112622115478238,0,1.40931841334906e-05,0.00135539353150122,3.84374866023184e-05,2.1994064351883e-05,3.31835817847662e-05,9.07089813986115e-06,5.21368278911174e-06,6.05944925665706e-06,9.59837650317432e-05,"g__Acinetobacter"
"28090",8.17748411523711e-06,0.00511159107271418,5.43685097591475e-05,0,0,0,0.000346620450606586,6.91866760299302e-06,1.43739429162814e-05,0.00704776820673453,5.169141700943e-05,1.72016375958991e-05,1.31274080589158e-05,0.0029603315571344,0,0,0.00184948072272016,0,9.23216115660515e-06,0,0.000109772926859867,4.92807474903779e-06,6.35584467586781e-06,0.00327064595257563,2.01153278798444e-05,0.00130548302872063,0.00298329355608592,0.000172935077451598,0.00533760341606619,0,0,4.58473740916489e-05,1.86846620723159e-05,1.1996017322249e-05,5.53679198272521e-05,0.000447027268663388,5.14019892569842e-05,0.0604272394665408,0,0.00654664484451719,5.40935277094096e-05,0.0208236339780759,0.00159034111194054,0,1.94620161843442e-05,0,1.47836486931994e-05,1.51209192419196e-05,2.55258321421278e-05,9.07089813986115e-06,1.30342069727794e-05,5.04954104721422e-06,3.42799160827654e-05,"g__Acinetobacter"
"3064892",0,0.00561555075593952,1.5533859931185e-05,0,0,5.13707426497029e-05,0.00901213171577123,1.03780014044895e-05,6.22870859705526e-05,0.0148786217697729,0.00010338283401886,1.72016375958991e-05,0,0.00414446417998816,0.000166650795162365,0,0.00493194859392043,4.02577569988111e-06,9.23216115660515e-06,0,0,0,0,0.0098119378577269,0,0.0234986945169713,0.0137231503579952,0.000295349795198234,0.00240192153722978,0.00239923224568138,8.62671348096516e-06,0,4.67116551807897e-06,0,0,0.00223513634331694,2.57009946284921e-05,0.45757110822613,5.830852791375e-06,0.00245499181669394,0,0.0164218902103526,0.00395962480932135,0,6.03993605721027e-06,0.000140213123948402,4.28725812102782e-05,2.74925804398538e-06,7.65774964263835e-06,5.7449021552454e-05,5.21368278911174e-06,1.00990820944284e-06,6.85598321655309e-05,"g__Psychrobacter"
"75985",0,0.000143988480921526,0,0,0,0,0.000346620450606586,0,0,0.176977290524667,1.47689762884086e-05,8.60081879794956e-06,0,0,1.78554423388249e-05,0,0.000142267747901551,0,0,5.00625782227785e-05,0,0.000236547587953814,0,0.00245298446443173,0,0,0.00178997613365155,0,0,0.000479846449136276,0,0,0,0,0,0.227983907018328,0,0.000236043904166175,0,0,0,0.0330130782579253,3.2455941060011e-05,0,0,0,2.95672973863987e-06,0,0,1.51181635664353e-05,2.60684139455587e-06,0,3.42799160827654e-05,"g__Mannheimia"
"40324",0.000498826531029464,0.00201583873290137,0.000295143338692515,0.000546625441997916,0.00134334603272479,0.0002996626654566,0.00346620450606586,0.000605383415261889,0.000354557258601607,0.00548159749412686,0.000420915824219644,0.000232222107544638,0.000150965192677532,0.00118413262285376,0.00022021712217884,0.000472419583428831,0.000758761322141604,0.0003623198129893,0.00030466131816797,0.000225281602002503,0.000392046167356668,0.000271044111197079,0.000384528602890003,0,0.000321845246077511,0.00391644908616188,0.0035799522673031,0.000332268519598013,0.00160128102481986,0.00383877159309021,0.000319188398795711,0.000236878099473519,0.000269370544875887,0.000275908398411727,0.000264535616952427,0.000894054537326777,0.000205607957027937,0.00141626342499705,0.000309035197942875,0.000818330605564648,0.000784356151786439,0.00258179201760698,0.000843854467560287,0.000266389803417986,0.000263743874498182,0.000140213123948402,0.000314891717165147,0.000236436191782743,0.000239942822136002,0.000495875764979077,0.000354530429659599,0.000277724757596782,0.000459350875509057,"g__Stenotrophomonas"
"1176536",0.000196259618765691,0.000143988480921526,0.000209707109070998,0.000170820450624349,0.000220220661102425,0.000256853713248515,0.00381282495667244,0.000145292019662853,0.000225191772355075,0.000783085356303837,0.000140305274739881,0.000215020469948739,0.00015752889670699,0,0.00018450623750119,0.000205806551196718,4.74225826338502e-05,0.000174450280328181,0.000191567343999557,0.000175219023779725,0.000172500313636934,0.000197122989961512,0.000190675340276034,0.0122649223221586,0.00022797371597157,0,0.00775656324582339,0.000151561079114883,0.00106752068321324,0,0.000198414410062199,0.000145183351290222,0.000168161958650843,0.00023992034644498,0.000172255750573673,0,0.000128504973142461,0.000118021952083087,0.0002099107004895,0.00409165302782324,0.000108187055418819,4.23244593050324e-05,9.73678231800331e-05,0.000174177948388683,0.000206700033957863,4.67377079828005e-05,0.000152271581539954,0.000197946579166947,0.000199101490708597,0.000166299799230788,0.000255470456666476,0.000162595221720298,0.00017825556363038,"g__Novosphingobium"
"2780074",0.00025350200757235,0,0.00034174491848607,0.000204984540749219,0.000528529586645819,0.0002996626654566,0.000346620450606586,0.000269828036516728,0.000191652572217085,0,0.000228919132470333,0.000533250765472873,0.000301930385355064,0,0.000226168936291782,0.000360161464594257,0,0.000277778523291796,0.00032312564048118,0.00032540675844806,0.000352841550621001,0.00037946175567591,0.000273301321062316,0,0.00031514013678423,0,0,0.000326439247324364,0,0.000479846449136276,0.000388202106643432,0.000267443015534619,0.000228887110385869,0.000191936277155984,0.000172255750573673,0,0.000282710940913413,0,0.000335274035504063,0,0.000243420874692343,0,0.000162279705300055,0.00026980505730796,0.000277165954625316,0,0.000272019135954868,0.000295545239728428,0.000199101490708597,0.000290268740475557,0.000315427808741261,0.000293883288947868,0.000335943177611101,"g__Novosphingobium"
"702113",0.000179904650535216,0,0.00021747403903659,0.000290394766061393,0.000198198594992182,0.000154112227949109,0,0.00022831603089877,0.000201235200827939,0,0.000221534644326129,0.000430040939897478,7.87644483534948e-05,0,0.000178554423388249,0.000187096864724289,0,0.000193237233594293,0.000237728149782583,5.00625782227785e-05,0.000305796010538201,0.000172482616216323,0.000181141573262233,0,0.000254794153144696,0,0,0.000174878168209481,0,0,0.000112147275252547,0.000259801786519344,0.000189960731068545,0.000131956190544739,9.84318574706704e-05,0,0.000282710940913413,0,0.000233234111655,0,0.000216374110837638,0,0,0.000181008456168632,0.000226162050142207,0,0.000133052838238794,0.000192448063078977,0.000209311823565448,0.000214677922643381,0.000135555752516905,0.000188852835165812,0.00026738334544557,"g__Novosphingobium"
