"","AMC1","AMC21","AMC23","AMC25","AMC27","AMC30","AMC31","AMC33","AMC34","AMC37","AMC3","AMC40","AMC41","AMC43","AMC45","AMC47","AMC50","AMC51","AMC53","AMC55","AMC57","AMC5","AMC60","AMC6","AMC9"
"p__Pseudomonadota",5.02700310200384,2.37103935913341,5.29920726745725,5.00624631861431,4.47673684785245,5.28510232353042,3.07811361569588,5.12995648467026,2.13780544708338,1.82775262971079,5.19693604903574,5.08812854711661,4.8437794573729,5.11769178425061,5.98038731259468,4.93776537991478,2.82385095424459,2.20714312751138,4.88136539061031,4.56154069931679,5.78778228109248,6.68496718379168,5.60914636084004,5.76825205113196,5.64558618618288
"p__Bacillota",-3.85388138941738,2.34898549210753,-7.64097788504699,-4.81393013039595,-2.13885787865109,-7.6585611973553,1.25898267489264,-6.18588183744614,1.1639683869921,2.31591599494459,1.84434089272994,-7.8896048501636,2.19764966828703,-5.08253003364443,-5.90560173263484,-4.00384362322916,-0.775777146878855,1.52501599848138,-4.51626005793317,-3.02248506128151,-7.16127701147268,0.180199954897447,-7.35942824095926,-7.22337214558654,-7.31881374314902
"p__Actinomycetota",4.34268635153441,2.74010832620314,4.60018980853266,4.32006225055406,3.70955139530964,4.56407698011069,3.6867009814903,4.38417959563094,3.81351700450752,3.23087550825591,4.32036555236391,4.25068971250593,4.42762083347559,4.34906206851315,5.12420514341006,4.15251194782575,4.57280344389109,3.62609992710263,4.16848157084646,3.8495841533531,5.05567840668395,5.36810279783882,4.81475220657625,4.88773327048293,4.86842677040167
"p__Bacteroidota",-1.02123891124508,1.14167209792579,-0.486214847466462,-1.18183285007587,-1.63333906446906,-0.967685981013383,1.97951197329024,-0.605853321856033,2.93700434498035,2.49121731355946,3.86964758265202,-0.434780755619493,4.00589793715826,-1.02507623407223,-0.170105282489112,-0.96923095660759,2.34175993239086,2.41316474723797,-0.827755856955717,-0.853536252492852,-0.635788188004695,0.621550428490805,-0.324719167366804,-0.249495529164429,-0.438949214169385
"p__Verrucomicrobiota",-5.10792084482201,1.00091501782686,-2.48773366509156,-3.92461835557677,-4.63896543213478,-2.42797632893402,-0.937979334934166,-3.74644753961694,-1.03295386877984,-0.508092678409916,-7.6156450383908,-2.05712983367207,-7.73747394814689,-4.2720699192974,-7.00421402130295,-4.93110442495415,-0.43942830364863,-0.561597903643643,-4.16827584880455,-4.54582543870463,-4.62652570832774,-6.42741018250937,-4.07485535560899,-4.93422812124166,-4.02644500164226
"p__Spirochaetota",0.613351691946227,-9.60272029319673,0.7155293216151,0.594072766880215,0.224874132092841,1.20504420366159,-9.0653299104349,1.02404661861791,-9.0193413147835,-9.35766876806084,-7.6156450383908,1.04269717983264,-7.73747394814689,0.912922334250287,1.97532858042216,0.813901677050374,-8.52320887999905,-9.20982589668971,0.462444802236672,0.0107218998090977,1.58013022002869,-6.42741018250937,1.33510419651877,1.75111047437774,1.27019500237611
