"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",11,16889.2888544471,0.23612405821176,1.15214881668525,0.253274672532747
"Residual",41,54637.8947047164,0.76387594178824,NA,NA
"Total",52,71527.1835591635,1,NA,NA
