"","AMC10","AMC22","AMC24","AMC26","AMC28","AMC29","AMC2","AMC32","AMC35","AMC36","AMC38","AMC39","AMC42","AMC44","AMC46","AMC48","AMC49","AMC4","AMC52","AMC54","AMC56","AMC58","AMC59","AMC7","AMC8","AMC91","AMC93","AMC94","AMC95","AMC96"
"p__Pseudomonadota",5.7081142187689,5.45065115559812,5.60914749044185,3.27734388453225,5.18406724100947,2.33395439424428,5.23422498992417,5.41785675008359,5.120013953371,5.77523541841293,5.66335501783203,2.30279937608634,5.63782905251792,5.55552077193226,4.61227038162255,3.08009306058801,3.25526649895723,6.05588585671243,3.98569677601061,5.60192717756099,2.54170435037883,2.30070716758745,5.62054550105949,5.78022238782893,5.62671284911898,5.84269893096389,4.85947436234505,4.72554409760271,5.03274865588301,4.81757102048698
"p__Bacillota",1.49618118083281,-7.10108713906992,-6.89868430653258,-2.92273796960528,-6.2720797379391,0.471888942906044,2.30043823284874,-7.11842021015171,-7.42878285315961,-6.7666638449527,-6.96544360659382,0.449001461582333,-4.42993914714333,-7.01747557691591,-7.11682881690866,-0.445935248694791,-2.48439904933759,-6.50209394180818,0.304562347473148,-6.9872527619733,0.190467922462798,-1.21900261880128,-6.88167758581391,1.61762565085448,1.55422642659865,-6.78684306290743,-3.4527041166534,-3.36819728100035,-3.99254543438695,-3.27428649235054
"p__Actinomycetota",3.57544992444397,4.67672327232829,4.97789390985707,4.69439993303441,4.39410437842918,3.68566721259966,4.61948585999782,4.69405869184188,4.34774761054868,5.03366120563763,4.62276752076102,3.85775470645761,5.00933978594276,4.70524760820499,5.33358429927573,4.04485644068819,4.22521283720529,5.26157468332432,3.25984715862525,4.69094015124951,3.98805177822103,4.1462030922758,5.00826673418858,3.9923609753141,4.6515503794208,4.79114973168018,3.8689488141439,3.7884377667162,4.02513770636255,3.94767260967369
"p__Bacteroidota",3.28777608114876,-0.0324604492377496,-0.850164021138024,0.921041291004792,-1.21159663811527,1.724588644861,2.26653923458648,0.427845525549178,-0.563011731645315,-0.395636260085599,-0.501985837452394,2.55678371460813,-0.627578536834212,-0.0833339264514841,3.34835456901025,2.44411324387572,3.03771886279907,-0.178241790598149,-1.6010134478366,-0.262668988540903,2.19181521574731,3.0400933953734,-0.0882048554695025,2.53380363990507,2.09313957784454,-0.579373575339825,-1.59545007819783,-1.07679485943573,-1.22842395029577,-0.927841555955256
"p__Verrucomicrobiota",-7.03376070259722,-4.08306325177513,-3.93501286329917,1.99078337332338,-3.2598181624339,0.643725214942055,-7.21034415867861,-4.17625181249458,-2.50268410837657,-5.17659858875706,-4.15094744270033,-0.506332935977029,-6.86768343704953,-4.59279940613245,0.939448383908788,-0.69715190300852,0.151549433664475,-6.50209394180818,-5.79755895100092,-4.67441897417444,-0.320255418399762,0.115428247843842,-4.4191008476605,-6.96200632695129,-6.96281461649148,-5.00582030538769,-4.34509188093498,-4.55439946146481,-4.728543739912,-4.91250474734607
"p__Spirochaetota",-7.03376070259722,1.0892364121564,1.09681979067085,-7.96083051228954,1.16532291904962,-8.85982440955304,-7.21034415867861,0.754911055171643,1.02671712926181,1.53000206974481,1.33225434815349,-8.66000632275739,1.27803228256639,1.43284052936259,-7.11682881690866,-8.4259755934486,-8.18534858328847,1.86496913417775,-0.151533883271481,1.63147339587815,-8.5917838484102,-8.38342928427921,0.760171053695843,-6.96200632695129,-6.96281461649148,1.73818828099088,0.664822899297264,0.485409737581982,0.891626762349163,0.349389165491194
