"","AMC10","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC29","AMC2","AMC30","AMC31","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC39","AMC3","AMC40","AMC41","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC56","AMC57","AMC58","AMC59","AMC5","AMC60","AMC6","AMC7","AMC8","AMC91","AMC93","AMC94","AMC95","AMC96","AMC9"
"199596",0,25,0,20,3,6,17,0,61,36,0,0,23,0,21,22,0,26,33,1,185,0,0,109,0,2,24,42,72,0,31,0,0,108,0,0,24,36,128,9,0,34,1,6,0,59,315,0,0,171,129,95,66,66,24
"3069264",0,28,0,24,18,4,18,0,69,17,0,0,8,0,19,29,0,23,36,1,147,0,0,65,0,3,24,32,44,0,39,0,0,105,0,0,24,22,129,15,0,35,0,8,0,70,356,0,0,141,173,71,53,61,22
"3018446",0,353,0,355,136,92,380,0,937,319,0,0,188,0,224,220,0,256,338,0,1292,0,0,745,0,66,226,358,453,0,256,0,0,1522,0,0,149,381,1069,131,0,232,0,104,0,1021,2317,0,0,886,1096,469,457,663,359
"1938607",0,259,0,281,142,69,234,0,792,220,0,0,180,0,176,208,0,211,269,0,1029,0,0,594,0,55,146,262,345,0,208,0,1,1293,1,0,161,315,816,107,0,190,0,87,0,860,1801,0,0,739,836,445,376,473,312
"2903960",0,172,0,182,84,34,195,0,520,174,0,0,111,0,114,144,0,170,184,0,706,1,0,407,0,23,102,221,266,0,145,0,0,797,0,0,102,180,590,96,0,160,0,58,0,589,1369,0,1,533,595,296,254,335,228
"745310",0,300,1,340,145,80,303,0,704,331,0,0,247,0,224,309,0,431,446,4,1392,0,0,885,0,114,253,459,600,0,312,0,0,1236,0,1,207,419,1238,213,0,366,0,83,0,905,3322,0,0,1307,1290,792,604,812,330
"3062169",0,58,0,63,45,34,59,0,173,123,0,0,86,0,99,94,0,86,102,0,421,0,0,245,0,21,99,131,158,0,92,0,0,293,0,0,78,68,366,53,0,70,0,16,0,202,981,0,0,360,425,208,169,249,79
"2968057",0,68,1,67,31,15,77,1,129,89,0,0,51,0,68,51,0,72,103,1,365,2,0,221,0,14,63,103,127,0,69,0,0,272,0,0,45,69,278,49,2,62,2,30,0,171,698,0,1,260,352,177,143,186,61
"3095343",0,62,0,73,27,25,56,0,132,111,0,0,65,0,54,81,0,96,101,0,340,0,0,187,0,13,55,123,148,0,75,0,0,209,0,0,36,61,289,50,0,59,0,27,0,147,694,0,0,299,317,156,141,187,60
"2942996",0,24,0,12,9,12,18,0,50,40,0,0,23,0,23,25,0,23,34,0,140,0,0,38,0,10,19,34,52,0,11,0,0,77,0,0,26,28,106,21,0,23,0,10,0,72,228,0,0,114,106,66,37,93,16
"304378",0,83,2,84,16,5,45,0,114,77,0,0,43,0,43,37,0,41,61,0,331,0,0,184,0,21,51,54,103,0,25,0,0,405,0,0,37,89,223,31,0,61,0,16,0,235,439,0,0,178,223,98,127,163,107
"2714942",0,11,0,27,11,10,20,0,18,36,0,0,25,0,28,12,0,27,28,0,133,0,0,71,0,6,16,38,56,0,24,1,0,68,0,0,29,12,105,12,0,24,0,7,0,45,248,0,0,97,141,40,42,66,29
"2890321",0,64,0,58,35,30,66,0,120,125,0,0,93,0,70,92,0,106,135,0,395,0,0,212,0,16,72,156,204,0,98,0,0,267,0,0,61,86,386,57,0,104,1,17,0,132,905,0,0,412,420,208,194,250,60
