"Age_wk","Trt","variable","n","mean","sd"
"1","1","Shannon",6,3.541,0.647
"11","1","Shannon",6,3.728,0.671
"5","1","Shannon",6,3.738,0.622
"7","1","Shannon",6,3.943,0.411
"9","1","Shannon",6,3.723,0.419
"1","3","Shannon",5,3.556,1.015
"11","3","Shannon",5,3.965,0.512
"5","3","Shannon",5,3.997,0.538
"7","3","Shannon",5,3.599,0.514
"9","3","Shannon",5,3.73,0.538
