"Age_wk","Trt","variable","n","mean","sd"
"1","1","Observed",6,243.167,267.061
"11","1","Observed",6,340,220.885
"5","1","Observed",6,352.833,205.478
"7","1","Observed",6,429.333,197.608
"9","1","Observed",6,296.333,195.877
"1","3","Observed",5,346,241.37
"11","3","Observed",5,383.8,194.501
"5","3","Observed",5,389.4,144.218
"7","3","Observed",5,256.6,251.454
"9","3","Observed",5,319.8,229.845
