"","AMC60","AMC6","AMC30","AMC33","AMC31","AMC37","AMC3","AMC34","AMC47","AMC45","AMC41","AMC40","AMC43","AMC1","AMC9","AMC53","AMC5","AMC57","AMC55","AMC50","AMC51","AMC25","AMC21","AMC23","AMC27"
"Drugs",0.856082827093141,0.777801102636164,0.788297170921666,0.812163921612293,0.193246591830251,1.16932799834133,0.585269275619713,0.681288917251287,0.750716321766485,0.758210903313857,1.02728746988985,0.832160624038427,0.790511950600347,0.802171765008956,0.851333712088089,0.843396035345803,0.295132005015701,0.78734452084815,0.714094982111462,0.101950551249013,0.831059085131507,0.734803873106262,1.17756450601401,0.783735097249147,0.837971571798557
"Metals",0.176358666865337,0.257346230117399,0.211183479780841,0.222410351385418,0.404555685497458,0.205534932482172,0.125736946241273,0.235001814622868,0.250808481277689,0.234282844821504,0.179989609502651,0.23410884132697,0.180937931513323,0.208894290146237,0.131678529527034,0.19079760989043,0.128635489366143,0.234974032223037,0.242893030373618,0.22624826792659,-0.0852316467426484,0.206550356002644,0.243608937960051,0.327831761073166,0.202458918001491
"Multi-compound",0.211801513795136,0.212613700113742,0.187191053037619,0.146404170096061,0.655870113778365,-0.166704527997671,0.0387255692516428,0.235001814622868,0.169052396609299,0.225058460755778,0.270961387708377,0.188123728085146,0.215573428176078,0.236139565123403,0.168250819150378,0.238264147129355,0.263976837235906,0.185365027557134,0.238085328805514,0.457153824576289,0.137911904571561,0.209770970702687,0.117124790850931,0.131649403486977,0.226860633588128
"Biocides",-1.24424300775361,-1.24776103286731,-1.18667170374013,-1.18097844309377,-1.25367239110607,-1.20815840282583,-0.749731791112628,-1.15129254649702,-1.17057719965347,-1.21755220889114,-1.47823846710088,-1.25439319345054,-1.18702331028975,-1.2472056202786,-1.1512630607655,-1.27245779236559,-0.68774433161775,-1.20768358062832,-1.19507334129059,-0.785352643751891,-0.88373934296042,-1.15112519981159,-1.53829823482499,-1.24321626180929,-1.26729112338818
