"","AMC38","AMC32","AMC36","AMC35","AMC39","AMC7","AMC49","AMC46","AMC44","AMC48","AMC4","AMC42","AMC10","AMC91","AMC95","AMC93","AMC94","AMC8","AMC96","AMC58","AMC59","AMC52","AMC54","AMC56","AMC22","AMC28","AMC26","AMC24","AMC29","AMC2"
"Drugs",0.793099711989888,0.78677805610916,0.776685044590051,0.811819852513431,0.616039649910973,0.414112969300569,-0.0275169764974725,-0.162436486247,0.728704484669011,0.933895113608567,0.841984359754848,0.749399416192558,0.0145090477568477,0.804608442647209,0.78765903786248,0.791198168786246,0.797236305764072,0.688301412443826,0.74597648217589,0.191721682394172,0.799514536162063,0.7574833902334,0.762119504576633,0.117511158044363,0.808522718801821,0.800047434927897,0.0194780487897148,0.859284058067325,0.933497795481539,0.926064448063159
"Metals",0.222114292534168,0.291854280633292,0.167775610054488,0.271855453657108,0.034118104461252,0.841556984127509,0.199618596086275,0.456934232190438,0.156387210121489,-0.13530328985325,0.222666094558757,0.324516222227291,0.244899007591825,0.224357244678316,0.218199814712775,0.200532932091116,0.220391660336843,-0.336202904070561,0.239098540094839,0.154680410713823,0.274702670421332,0.223856326107501,0.256708079201515,0.261760766888909,0.19648562833785,0.178311056912949,0.194750553646255,0.271277830094831,0.116736658954417,0.383199470552552
"Multi-compound",0.175297232488952,0.099816462281926,0.172464950417875,0.18771570521216,0.180721578653127,0.345120097813618,0.374609230345177,0.351831481709964,0.206642027038404,-0.0127009677609176,0.198371114317179,0.163150030609324,0.392322624534502,0.190115699384606,0.188229680082498,0.186322287267441,0.189668737226098,0.320576632318509,0.208243405489975,0.57883765183414,0.274702670421331,0.209671691115545,0.203480438190451,0.305563389547303,0.216761485869366,0.167853445268992,0.280957748847471,0.180306051889105,-0.525117227217978,-0.0107048151545364
"Biocides",-1.19051123701301,-1.17844879902438,-1.11692560506241,-1.2713910113827,-0.830879333025353,-1.6007900512417,-0.54671084993398,-0.646329227653402,-1.0917337218289,-0.785890855994399,-1.26302156863078,-1.23706566902917,-0.651730679883173,-1.21908138671013,-1.19408853265775,-1.1780533881448,-1.20729670332701,-0.672675140691774,-1.1933184277607,-0.925239744942134,-1.34891987700473,-1.19101140745645,-1.2223080219686,-0.684835314480575,-1.22176983300904,-1.14621193710984,-0.495186351283441,-1.31086794005126,-0.525117227217978,-1.29855910346117
