"Age_wk","Trt","variable","n","mean","sd"
"1","1","Shannon",6,4.51,0.994
"11","1","Shannon",6,5.114,0.68
"5","1","Shannon",6,5.093,0.866
"7","1","Shannon",6,5.287,0.786
"9","1","Shannon",6,5.042,0.665
"1","3","Shannon",5,5.017,0.86
"11","3","Shannon",5,5.213,0.813
"5","3","Shannon",5,5.399,0.36
"7","3","Shannon",5,4.565,1.117
"9","3","Shannon",5,4.982,0.9
