"","AMC60","AMC6","AMC38","AMC30","AMC32","AMC33","AMC31","AMC36","AMC37","AMC3","AMC35","AMC39","AMC34","AMC7","AMC47","AMC49","AMC46","AMC45","AMC44","AMC41","AMC48","AMC40","AMC4","AMC43","AMC42","AMC10","AMC1","AMC91","AMC95","AMC93","AMC9","AMC94","AMC8","AMC96","AMC53","AMC5","AMC58","AMC57","AMC55","AMC59","AMC50","AMC52","AMC54","AMC51","AMC56","AMC22","AMC28","AMC25","AMC26","AMC24","AMC21","AMC29","AMC23","AMC27","AMC2"
"Aminoglycosides",1.20841265744343,1.10945502218392,1.1732906179649,1.04183552713042,0.983449285353148,1.17628205869071,0.671626829597929,1.19244229203404,2.03769647511423,2.34985603917181,1.13232729977194,1.03798583725374,0.191703603294393,1.50559023876337,0.939183111989297,1.14963731101006,0.70133755077061,1.1353495888582,1.03550962072128,0.895107916737557,0.480122791277057,1.20661307220441,1.20710943111854,1.14161958047647,0.969859412585061,1.05760074288033,1.32627711415193,1.09654549181512,1.0964617437294,1.0657117248427,1.37483475851877,1.09880492199458,2.08780621899661,0.948034662635686,1.16433046948973,1.14069768714918,0.683348733688353,1.32286284212722,0.87689109230502,1.15912523317134,0.181103768456227,0.971599362832196,1.00059034432886,3.85902960610632,0.128413247409826,1.07485856642496,0.966189398272606,0.958640806781817,1.83622244061747,1.23960698590769,2.89345233407347,1.95648959095736,1.21778598763701,1.14769144032591,2.05791672280704
"Multi-drug_resistance",1.04509849900744,0.904177123614963,0.950691060303966,1.05439653558263,0.899430867010732,1.0320410907921,-0.402976097758757,0.918708244956962,1.04559192541848,1.16850764789418,1.03232261430988,0.0484034846387754,0.191703603294393,1.11208369908658,1.13328030094707,0.0869371419748485,0.0609102091239984,1.00240241595838,1.2601389077089,0.435052451151773,1.12970068535778,0.913072014403694,0.903248345773223,1.15141432088529,1.12671918280099,0.235898029584337,0.968759791043251,0.964852674522336,1.00196766766002,0.931335591065324,1.08733491907735,0.938988688136199,0.530415634015355,0.951967352191213,1.10540945563217,0.447844338440613,0.57821815927476,1.01246011528331,0.993345773636037,1.1352257438276,0.436127442404792,1.08243901509081,0.941003053704378,0.595879571531123,-0.515987775955846,1.08755591980337,1.20372272507967,1.03370034229154,-0.0505198764648225,1.14506286760427,0.941336492685235,-0.424423667879639,0.826686672237435,0.981201985090997,0.399786369717292
"betalactams",3.47761991150141,3.20898046002285,3.327091743441,3.2441990090846,3.58802025396806,3.36781418385994,-0.402976097758757,3.38891066978506,3.22822193474913,1.75918184353299,3.1824233517442,3.51194171879113,3.88972795071526,1.89909677844017,3.13744662413894,1.0937057231661,1.34176489241722,2.98676207072228,2.8044652557488,3.42541297745937,4.3775901557614,3.36692177209723,3.38504569204908,3.0417992197886,2.81296171262218,1.25094255777351,3.12291480116644,3.39431079353812,3.26160861714511,3.41600198773741,3.38355074198446,3.39369421268016,0.78998073151223,3.13067736595331,3.1381844337182,1.41783902663261,0.893609882515539,2.93865785857498,2.7983933342668,2.70064229584251,2.05127737741237,3.1228962498517,3.28101206120096,1.24850957844616,1.84681597638495,3.17415432498958,3.45286641328402,3.06499902202348,1.14595086119712,3.2486694998555,3.18922746155653,4.57549417567806,2.97318524047699,3.30967593759076,3.11309058386416
"Iron_resistance",-0.128184797124817,-0.119163687567902,-0.145762166282676,-0.180769295551372,-0.156050513415874,-0.0707043734650277,-0.134325365919586,-0.199313947321707,-0.105249352228593,-0.0128407433834525,-0.160040943122396,-0.446387691668705,-0.37722321938574,-0.461942459620581,-0.1215805951055,-0.528310324308694,-0.519477069243243,-0.132572523056699,-0.119726712357921,-0.0250030144340101,-0.169455102803667,-0.19586087062122,-0.135606569046093,-0.234541446963504,-0.219660511552374,-0.440798322541778,-0.0992666425472371,-0.180600475888832,-0.177154064162201,-0.168222965132257,-0.217763036281714,-0.201273205123067,0.0112854390216033,-0.160983792022995,-0.157183698458538,-0.522150349751387,-0.262826436033982,-0.199386147052506,-0.193036292423696,-0.0238994893437392,-0.328943579440903,-0.167026155824495,-0.112242569766211,-0.49183710666061,-0.515987775955846,-0.144087357902884,-0.158382445829572,-0.110957574231768,-0.395655666174998,-0.107646699916129,0.0540111102360382,0.28985030977146,-0.119227951054573,-0.0724384244671173,-0.203170122315345
"Drug_and_biocide_resistance",4.313530538233,4.34918740157913,4.20996971875836,4.31188472752246,3.92409392733772,4.23791292569995,5.23868927086385,4.24309281668823,2.95043266083432,3.53120443044944,4.20170187664598,4.50152407140609,4.17419136205532,2.68610985779375,4.28397420542438,5.17671163577507,4.6239550183561,4.4541049419869,4.61754450072032,4.34552390863093,3.72801226168068,4.21876641042087,4.25685655471521,4.43754972804622,4.0286249317956,5.09361112877538,4.5213053434523,4.24345510504053,4.34829049194294,4.26231321489301,4.30657654229637,4.2574201507238,4.94302229146224,4.39503705805531,4.4554899578195,5.11305688641166,5.62448573112722,4.40137755767506,4.53793513664886,4.68429991137284,5.36658513874371,4.29175076457892,4.32781581541485,4.07657294174467,4.85402075209142,4.4015651515697,4.20629243425017,4.53335118543248,4.55129065300418,4.08774854979841,3.42584756354298,1.95648959095736,4.18286451834081,4.37758687188329,2.962351460856
"Drug_and_biocide_and_metal_resistance",-0.188353171285445,-0.1587965491728,-0.160802676935442,-0.101216242020708,-0.129794757683869,-0.210292406915297,1.20892829327627,-0.143247937679414,-0.581459536082553,0.577833452255363,-0.171579945291096,-0.446387691668705,-0.37722321938574,1.89909677844017,-0.216372245526737,1.42929525022985,1.26171147471139,-0.139958477106689,-0.187917745907735,-0.0250030144340101,-0.169455102803667,-0.142140938474684,-0.192878815498612,-0.141491413079663,-0.10201568389043,1.20260710405022,-0.189777357258296,-0.172369674808033,-0.173045626072228,-0.121708149593934,-0.19128278791211,-0.170746508768094,0.0112854390216033,-0.16884917113405,-0.211896068469136,0.632605231429565,1.73465447782428,-0.178125686309773,-0.120252116591811,-0.23899489343739,1.20119846425049,-0.111606329695187,-0.113853037080387,-0.49183710666061,0.450613759092662,-0.122925102272192,-0.0730189065082848,-0.0781190274462629,1.46807759825995,-0.166736773855771,-0.0642989407571879,-0.424423667879639,-0.155609282719651,-0.153304731295505,0.0983081237009734
"Biocide_and_metal_resistance",0.0200872677710172,-0.0338006010342771,-0.0359664385174842,-0.0425982025770605,-0.18755742029428,-0.00556329118823543,-0.402976097758757,0.0183540901130779,-0.144933534216423,0.577833452255363,-0.0561899236041016,0.0484034846387754,-0.37722321938574,-0.461942459620581,0.0544610413910835,0.170834523740786,0.321083816667934,0.010222588576435,-0.0475244415404711,-0.485058480019794,0.263596826583482,-0.0577239022444142,-0.0258347633454299,-0.0484413791958212,0.133273971433459,-0.00577923903213287,-0.112843249753896,-0.0585102598569828,-0.0415756071930952,-0.060980473752234,-0.164802539542506,-0.0127259629305898,0.530415634015355,-0.0253060023573058,-0.0435503145903749,-0.014057894031768,-0.262826436033982,-0.0675712904475578,0.0762651581542797,-0.0358492340156088,0.181103768456227,-0.0360338395188583,-0.0590971483984293,0.378336235892777,0.665414100214553,0.07600010065631,-0.054461615351483,-0.139104900047915,0.133552544713937,0.0105334479631533,0.113166135732651,-0.424423667879639,-0.0737512864732268,-0.0343836918419935,-0.203170122315345
"Tellurium_resistance",-0.360262811744384,-0.379317856051332,-0.387914387792209,-0.394306439238945,-0.387101163857519,-0.419674457090701,0.134325365919586,-0.403789982487718,-0.343354444155573,-0.603514939022268,-0.371589316215219,-0.446387691668705,-0.37722321938574,-0.461942459620581,-0.342761112755053,-0.528310324308694,-0.519477069243243,-0.359075113923049,-0.372434660218995,-0.485058480019794,-0.169455102803667,-0.397310616170729,-0.386968095143263,-0.415744144526774,-0.441878519358268,-0.440798322541778,-0.357222179473754,-0.375396101467737,-0.378467530570873,-0.35945054012314,-0.387993204372027,-0.352110998877048,-0.507844755972148,-0.385147096688048,-0.36340724696002,-0.429769903256911,-0.473087584861168,-0.399234478034203,-0.331326226504279,-0.454090297531041,-0.328943579440903,-0.378629128318217,-0.352202199578318,-0.49183710666061,-0.515987775955846,-0.351477463083663,-0.381069939711192,-0.425269379178742,-0.533709982059068,-0.414915084402264,-0.47838411923348,-0.424423667879639,-0.464850601872807,-0.39828207256974,-0.504648368331663
"Copper_resistance",0.69483260657235,0.674509771750686,0.675449715358348,0.606387234120465,0.857421657839524,0.724947417201508,0.134325365919586,0.707636208656564,0.728118469515838,-0.30817784120286,0.705384219530059,0.790590249099995,0.191703603294393,-0.461942459620581,0.853419237798654,0.534389844726516,0.461177297653131,0.729122116108765,0.618340944887122,-0.0250030144340101,0.263596826583482,0.67516945775475,0.600978156162703,0.54903778574253,0.786856347333148,-0.0541146927554268,0.638395682347888,0.661684834712913,0.708214344226959,0.663875401719966,0.519901025442974,0.669635485004089,0.0112854390216033,0.655049290748907,0.49094745397469,0.26308344545166,0.788479308101946,0.693553204142308,0.563919136227912,0.657235956952822,0.606143225037168,0.593736911950551,0.715537629719848,0.16079290025443,0.558013929653608,0.778586987595276,0.680407114457861,0.752227084130073,0.156561597361282,0.695978305662993,0.823026441692009,0.0517589838877607,0.853972670986243,0.584005713316267,0.399786369717292
"Arsenic_resistance",-0.280754603032125,-0.2858249517526,-0.282630813222847,-0.327314394160491,-0.266324687490295,-0.312656964778828,-0.402976097758757,-0.288359962635938,-0.0258809882529325,0.873170550074771,-0.290816301034323,0.0484034846387754,-0.37722321938574,0.325070619733001,-0.25699723856441,0.310663493350682,0.541230715358957,-0.285215573423153,-0.260120016725184,-0.0250030144340101,-0.385981067497242,-0.320567855961392,-0.278787185177392,-0.263925668189981,-0.245803806588361,0.0667239415528081,-0.266711464762695,-0.268395687417352,-0.228509540286862,-0.294846629653247,-0.210197251033256,-0.255143845749489,-0.248279658475272,-0.259301030911176,-0.283443013867609,0.678795454676803,-0.367957010447575,-0.229150792092334,-0.309490973754713,-0.143396936062434,0.266111659772415,-0.318171136177153,-0.266847431927032,-0.0567504353839167,0.343213588531717,-0.35994236533594,-0.303129316852625,-0.270459087189934,0.363643071187387,-0.273098906947125,-0.360074068240253,-0.424423667879639,-0.264753277714882,-0.305523661796,-0.504648368331663
